nome,sigla,tipo_unidade_id,cnes
"HOSPITAL MUNICIPAL DJALMA MARQUES - SOCORRÃO I",SC1,1,2308762
"HOSPITAL DA CIDADE DR. JACKSON LAGO - SOCORRÃO II",SC2,1,2308800
"HOSPITAL MUNICIPAL DR. ODORICO AMARAL DE MATTOS - NOVO HOSPITAL DA CRIANÇA",HC,1,2458799
"HOSPITAL DA MULHER",HM,1,5446546
"HOSPITAL ZONA RURAL",HZR,1,9144706
"HOSPITAL DO ITAQUIBACANGA",HIB,1,2456915
"UNIDADE MISTA DO SÃO BERNARDO",UMSB,2,2456907
"UNIDADE MISTA DO COROADINHO",UMC,2,2455773
"UNIDADE MISTA DO BEQUIMÃO",UMB,2,2464276
"PRONTO SOCORRO DO ANIL",PSA,3,
"PRONTO SOCORRO DO SÂO FRANCISCO",PSSF,3,
"SANTA CASA DE MISERICORDIA DO MARANHÃO - VASCULAR",SCMV,11,
"SANTA CASA DE MISERICORDIA DO MARANHÃO - MATERNIDADE",SCM,11,
"CENTRO DE PARTO HUMANIZADO NAZIRA ASSUB",CPHNA,10,
"CENTRO DE ESPECIALIDADES DO FILIPINHO",CEF,6,
"AMBULATÓRIO DO HOSPITAL DO COROADINHO",AHC,6,
"CENTRO DE ESPECIALIDADES BAIRRO DE FÁTIMA",CEBF,6,
"CENTRO DE ATENÇÃO INTEGRAL A SAÚDE DO IDOSO",CAISI,6,
"PROGRAMA SAUDE JÁ - APAE",PSJ-APAE,6,
"CENTRO DE ESPECIALIDADES- VILA ESPERANÇA",CEVE,6,
"PROGRAMA SAUDE JÁ AMB. DE ESP. MÉDICAS DR. PAULO RAMOS",PSJ-PR,6,
"CENTRO DE TESTAGEM E ACONSELHAMENTO DE DST/AIDS - LIRA",CTA-LIRA,6,
"AMBULATÓRIO DO HOSPITAL DA CRIANÇA ESPAÇO TEA",AHC-TEA,6,
"AMBULATÓRIO DO HOSPITAL DA CRIANÇA",AHC-AMB,6,
"CENTRO DE ATENDIMENTO A PESSOA COM HIPERTESÃO E DIABETES",CAPHD,6,
"CENTRO DE TESTAGEM E ACONSELHAMENTO -ANIL",CTA-ANIL,6,
"AMBULATÓRIO DO PRONTO SOCORRO DO ANIL",APSA,6,
"AMBULATÓRIO DA UNIDADE MISTA DO BEQUIMÃO",AUMB,6,
"AMBULATÓRIO DO HOSPITAL DA CIDADE DR JACKSON LAGO",AHCJL,6,
"SAÚDE JÁ ITAQUI BACANGA",SJIB,6,
"AMBULATÓRIO DO HOSPITAL DA MULHER",AHM,6,
"SAÚDE JÁ CENTRO DE ESPECIALIDADES SÃO BERNARDO",SJCESB,6,